field_of_study,gpa,python,java,c_cpp,sql,machine_learning,data_analysis,cloud_computing,cybersecurity,web_development,devops,networking,communication,leadership,problem_solving,teamwork,adaptability,tech_total,soft_total,tech_soft_ratio,ds_score,da_score,da_score_v2,ba_score,mle_score,de_score,se_score,ce_score,is_data_engineer,is_data_analyst,is_software_dev,is_cloud_expert,is_heavy_ml,is_data_expert,dev_vs_data,ml_vs_dev,analytics_no_infra,infra_no_analytics,da_vs_ds
Computer Science,3.42,0,0,0,0,0,1,1,1,0,1,1,4,2,5,2,4,5,17,0.2777777777777778,1,6,7,15,2,6,1,6,0,0,0,1,0,0,-1,0,-1,2,1
Software Engineering,3.85,0,1,1,0,1,0,0,1,0,0,0,1,4,1,3,2,4,11,0.3333333333333333,2,1,3,6,2,1,4,1,0,0,1,0,0,0,2,0,0,0,-1
Cybersecurity,2.98,1,1,0,1,1,0,1,0,1,0,0,5,1,2,4,4,6,16,0.35294117647058826,4,7,9,11,4,6,6,2,0,0,1,0,1,0,1,-1,0,1,-1
Cybersecurity,2.53,1,1,1,0,0,0,1,0,0,1,1,5,3,5,3,5,6,21,0.2727272727272727,1,5,7,16,3,8,6,6,0,0,1,1,0,0,2,-1,-2,3,0
Software Engineering,3.19,0,0,1,0,0,0,0,1,1,1,0,1,5,1,1,1,4,9,0.4,0,1,3,7,1,4,5,4,0,0,1,0,0,0,2,-1,-1,1,0
Cybersecurity,2.93,0,1,0,1,1,0,1,1,1,1,0,4,5,1,1,3,7,14,0.4666666666666667,3,6,6,12,4,7,5,5,1,0,1,1,0,0,1,-1,-1,2,-1
Software Engineering,2.75,0,0,0,1,1,1,1,0,0,1,1,1,4,2,1,3,6,11,0.5,4,5,5,7,4,7,0,4,1,0,0,1,0,1,-2,1,0,2,0
Cybersecurity,3.23,0,0,0,0,0,0,1,1,1,0,1,5,1,4,4,1,4,15,0.25,0,5,7,15,1,5,4,5,0,0,1,0,0,0,1,-1,-1,2,0
Computer Science,3.4,0,1,1,0,1,0,0,0,1,1,1,5,3,4,4,5,6,21,0.2727272727272727,2,5,6,15,3,4,6,3,0,0,1,0,0,0,3,-1,-1,2,-1
Software Engineering,3.91,1,1,1,1,0,1,1,1,0,1,0,1,4,1,4,5,8,15,0.5,3,5,7,6,3,8,5,5,1,1,0,1,0,1,0,-1,0,1,1
Computer Science,3.33,1,0,0,1,1,0,0,0,1,0,0,4,3,5,3,3,4,18,0.21052631578947367,4,6,9,14,3,4,4,0,0,0,1,0,1,0,0,0,1,0,-1
Software Engineering,3.06,1,1,0,1,0,1,0,0,0,1,0,5,1,4,4,2,5,16,0.29411764705882354,3,9,12,14,2,6,4,2,0,1,0,0,0,1,-1,-1,1,0,1
Software Engineering,3.2,1,0,0,1,0,0,1,0,1,0,1,3,1,4,3,5,5,16,0.29411764705882354,2,5,8,10,2,8,5,4,0,0,1,0,0,0,0,-1,0,2,0
Data Science,3.31,1,1,0,1,1,0,0,0,1,1,0,3,3,3,2,4,6,15,0.375,4,5,7,9,4,6,6,2,0,0,1,0,1,0,1,-1,0,1,-1
Software Engineering,3.46,0,1,1,1,1,0,0,0,0,1,0,4,3,1,2,5,5,15,0.3125,3,6,7,10,3,5,4,2,0,0,1,0,0,0,1,0,0,1,-1
Software Engineering,3.7,0,0,1,0,1,1,1,1,0,1,1,5,2,3,5,4,7,19,0.35,3,7,7,14,4,5,1,5,0,0,0,1,0,0,0,1,-1,2,0
Computer Science,2.91,1,0,0,1,0,1,1,0,1,0,0,2,1,4,5,4,5,16,0.29411764705882354,3,6,9,9,2,6,4,2,0,1,0,0,0,1,-1,-1,1,0,1
Computer Science,3.63,1,0,1,1,1,1,1,0,1,1,0,4,1,5,1,4,8,15,0.5,5,8,9,12,5,7,4,3,1,0,0,1,1,1,0,0,0,1,0
AI,3.86,0,1,0,0,1,0,0,1,1,0,1,5,3,4,5,2,5,19,0.25,2,5,7,16,2,2,5,2,0,0,1,0,0,0,2,-1,0,1,-1
Computer Science,3.23,0,1,0,1,0,0,1,0,0,0,0,1,1,3,3,3,3,11,0.25,1,3,5,6,1,6,4,3,0,0,1,0,0,0,0,-1,0,1,0
AI,3.68,1,1,0,0,0,0,1,1,0,1,0,3,5,3,2,4,5,17,0.2777777777777778,1,3,5,12,3,7,5,6,0,0,1,1,0,0,1,-1,-2,2,0
Data Science,2.84,0,0,1,1,0,1,1,0,0,1,1,3,1,4,2,1,6,11,0.5,2,7,8,11,2,8,2,5,1,1,0,1,0,1,-1,0,0,2,1
Data Science,2.71,0,1,1,1,0,1,0,0,0,1,1,2,2,1,5,5,6,15,0.375,2,6,8,7,1,6,4,3,0,1,0,0,0,1,0,-1,1,1,1
Data Science,3.98,1,1,1,0,1,0,1,1,0,0,0,4,3,5,1,5,6,18,0.3157894736842105,3,4,6,14,4,4,5,3,0,0,1,0,1,0,2,0,-1,1,-1
Data Science,3.68,1,1,1,1,1,1,0,0,0,1,0,3,4,3,1,3,7,14,0.4666666666666667,5,7,9,11,4,5,4,1,0,0,0,0,1,1,0,0,1,0,0
AI,3.83,0,1,0,0,1,0,0,0,0,1,1,2,1,4,2,5,4,14,0.26666666666666666,2,2,3,7,3,4,3,3,0,0,1,0,0,0,1,0,-1,2,-1
Data Science,3.54,1,0,1,1,1,0,1,0,1,1,0,2,3,4,3,2,7,14,0.4666666666666667,4,4,5,8,5,8,5,4,1,0,1,1,1,0,1,0,-1,2,-1
AI,2.8,0,0,0,1,0,1,1,1,0,1,0,5,5,5,4,4,5,23,0.20833333333333334,2,9,10,20,2,7,1,5,1,1,0,1,0,1,-2,0,0,1,1
Software Engineering,3.18,1,1,0,1,0,1,0,0,1,1,0,4,2,1,3,4,6,14,0.4,3,8,11,10,2,6,6,2,0,1,0,0,0,1,0,-2,1,0,1
Cybersecurity,3.16,0,1,0,0,0,0,0,1,1,1,0,3,3,2,4,2,4,14,0.26666666666666666,0,3,5,10,1,4,6,4,0,0,1,0,0,0,2,-2,-1,1,0
Cybersecurity,2.95,1,1,0,1,0,0,0,1,1,1,0,4,2,2,3,4,6,15,0.375,2,6,9,10,2,7,7,4,0,0,1,0,0,0,1,-2,0,1,0
Computer Science,3.71,0,0,0,1,1,0,1,0,0,1,1,4,2,2,5,4,5,17,0.2777777777777778,3,6,6,10,4,8,1,5,1,0,0,1,0,0,-1,1,-1,3,-1
Computer Science,2.93,1,0,0,1,0,1,1,1,0,1,0,4,2,4,3,4,6,17,0.3333333333333333,3,8,10,13,3,8,2,5,1,1,0,1,0,1,-2,0,0,1,1
Cybersecurity,4.0,0,1,1,0,0,0,1,0,0,0,1,3,2,5,5,3,4,18,0.21052631578947367,0,3,5,13,1,5,5,4,0,0,1,0,0,0,2,-1,-1,2,0
Data Science,3.51,1,1,0,0,1,1,0,0,0,0,0,3,4,5,3,4,4,19,0.2,4,5,8,14,3,1,3,-1,0,0,0,0,1,0,0,0,1,-1,0
Data Science,3.17,1,0,0,1,0,1,1,0,1,0,0,4,4,4,4,2,5,18,0.2631578947368421,3,8,11,16,2,6,4,2,0,1,0,0,0,1,-1,-1,1,0,1
Computer Science,2.9,0,1,0,0,1,0,1,0,0,0,1,4,1,2,4,1,4,12,0.3076923076923077,2,4,5,10,3,4,3,3,0,0,1,0,0,0,1,0,-1,2,-1
Cybersecurity,3.45,1,0,1,0,1,0,1,0,1,1,1,5,2,2,5,5,7,19,0.35,3,5,6,11,5,7,5,5,0,0,1,1,1,0,2,0,-2,3,-1
AI,3.18,1,0,0,1,0,1,1,0,0,0,0,5,3,4,4,2,4,18,0.21052631578947367,3,9,12,17,2,6,2,2,0,1,0,0,0,1,-2,0,1,0,1
Computer Science,3.07,1,1,0,1,0,1,1,0,1,1,1,3,3,4,3,3,8,16,0.47058823529411764,3,7,9,12,3,9,6,5,1,1,0,1,0,1,0,-2,0,2,1
Computer Science,3.3,0,1,0,1,0,1,1,1,1,1,0,2,3,4,1,2,7,12,0.5384615384615384,2,6,7,11,2,7,5,5,1,1,0,1,0,1,0,-2,0,1,1
Data Science,3.78,1,0,0,1,0,1,1,1,0,1,0,4,1,2,2,4,6,13,0.42857142857142855,3,8,10,10,3,8,2,5,1,1,0,1,0,1,-2,0,0,1,1
Data Science,3.09,1,0,0,1,1,1,0,0,0,0,0,1,3,4,3,2,4,13,0.2857142857142857,5,5,8,8,3,3,1,-1,0,0,0,0,1,1,-2,1,2,-1,0
Computer Science,3.03,1,0,0,1,0,1,0,0,1,0,1,3,2,4,1,4,5,14,0.3333333333333333,3,7,11,12,1,5,4,1,0,1,0,0,0,1,-1,-1,2,0,1
AI,3.65,1,0,0,1,0,0,1,0,0,1,0,5,5,5,2,2,4,19,0.2,2,7,9,18,3,9,3,5,1,0,0,1,0,0,-1,0,-1,2,0
Computer Science,3.74,1,0,0,1,1,1,0,0,0,0,0,2,1,3,2,3,4,11,0.3333333333333333,5,6,9,7,3,3,1,-1,0,0,0,0,1,1,-2,1,2,-1,0
Data Science,2.85,0,0,0,1,0,1,0,0,1,0,0,5,3,1,5,1,3,15,0.1875,2,9,12,15,0,3,3,0,0,1,0,0,0,1,-1,-1,2,-1,1
Computer Science,3.97,1,1,1,1,0,1,0,0,0,0,0,4,5,2,5,4,5,20,0.23809523809523808,3,8,12,15,1,4,5,0,0,1,0,0,0,1,0,-1,2,-1,1
Cybersecurity,3.25,1,1,1,0,1,1,0,0,0,1,1,2,3,2,4,3,7,14,0.4666666666666667,4,4,6,7,4,4,4,2,0,0,0,0,1,0,1,0,0,1,0
Computer Science,2.92,1,1,1,1,0,0,1,0,0,1,1,1,1,5,2,2,7,11,0.5833333333333334,2,3,5,6,3,10,6,6,1,0,1,1,0,0,1,-1,-1,3,0
Data Science,3.0,0,0,1,0,0,1,1,1,0,0,0,5,5,3,2,1,4,16,0.23529411764705882,1,7,9,19,1,3,2,3,0,0,0,0,0,0,0,0,0,0,1
Cybersecurity,3.73,1,1,1,0,0,0,0,0,1,0,0,4,5,4,3,3,4,19,0.2,1,4,8,16,1,3,8,1,0,0,1,0,0,0,3,-2,0,0,0
Computer Science,2.95,1,1,0,0,0,0,1,0,0,0,0,1,1,3,2,5,3,12,0.23076923076923078,1,1,4,5,2,5,5,3,0,0,1,0,0,0,1,-1,-1,1,0
AI,3.92,0,0,0,0,1,0,1,0,0,0,1,1,3,4,5,4,3,17,0.16666666666666666,2,1,2,8,3,4,1,3,0,0,0,0,0,0,0,1,-1,2,-1
Data Science,2.5,0,1,1,1,0,1,1,1,0,0,0,3,5,5,5,4,6,22,0.2608695652173913,2,7,9,17,1,5,4,3,0,1,0,0,0,1,0,-1,1,0,1
Software Engineering,3.3,1,0,1,0,1,0,1,0,1,1,1,3,3,5,2,4,7,17,0.3888888888888889,3,3,4,11,5,7,5,5,0,0,1,1,1,0,2,0,-2,3,-1
AI,3.75,1,0,1,0,1,0,1,0,1,1,0,5,5,2,5,2,6,19,0.3,3,5,6,14,5,6,5,4,0,0,1,1,1,0,2,0,-2,2,-1
Computer Science,3.4,1,1,1,0,0,1,0,1,1,1,0,5,4,3,2,3,7,17,0.3888888888888889,2,7,10,16,2,4,7,3,0,0,0,0,0,0,2,-2,0,0,1
Computer Science,2.52,0,1,1,0,0,1,1,1,0,1,1,3,5,4,4,5,7,21,0.3181818181818182,1,5,6,15,2,6,4,6,0,0,0,1,0,0,1,-1,-1,2,1
Data Science,3.7,1,0,0,1,1,0,1,1,0,1,1,2,2,4,3,5,7,16,0.4117647058823529,4,4,5,7,5,9,2,6,1,0,0,1,1,0,-1,1,-1,3,-1
Data Science,3.49,0,0,0,1,1,1,0,0,1,1,0,2,4,3,2,1,5,12,0.38461538461538464,4,6,7,10,3,4,2,1,0,0,0,0,0,1,-1,0,1,0,0
Data Science,2.61,1,1,1,1,0,1,1,0,0,1,0,3,2,5,3,4,7,17,0.3888888888888889,3,7,9,12,3,8,5,4,1,1,0,1,0,1,0,-1,0,1,1
Software Engineering,2.84,1,1,0,0,0,1,1,0,0,1,1,4,2,3,1,4,6,14,0.4,2,6,8,12,3,7,4,5,0,0,0,1,0,0,0,-1,-1,2,1
Software Engineering,3.19,0,0,0,0,1,0,1,1,1,1,0,1,5,1,4,2,5,13,0.35714285714285715,2,1,1,6,4,5,3,5,0,0,1,1,0,0,1,0,-2,2,-1
Data Science,4.0,1,0,1,1,1,1,0,0,0,0,0,2,5,5,4,2,5,18,0.2631578947368421,5,6,9,13,3,3,2,-1,0,0,0,0,1,1,-1,1,2,-1,0
Cybersecurity,3.27,0,0,0,0,0,0,1,1,0,0,0,2,3,2,5,2,2,14,0.13333333333333333,0,2,4,9,1,4,2,4,0,0,0,0,0,0,0,0,-1,1,0
Cybersecurity,3.41,1,0,0,1,1,0,1,0,0,1,1,4,3,5,3,5,6,20,0.2857142857142857,4,6,7,13,5,9,2,5,1,0,0,1,1,0,-1,1,-1,3,-1
Software Engineering,3.35,1,0,0,1,0,0,1,0,0,1,1,2,2,5,1,3,5,13,0.35714285714285715,2,4,6,9,3,10,3,6,1,0,0,1,0,0,-1,0,-1,3,0
Software Engineering,3.21,0,0,0,1,0,0,1,0,1,1,0,3,2,3,2,1,4,11,0.3333333333333333,1,5,6,10,2,8,4,5,1,0,1,1,0,0,0,-1,-1,2,0
Cybersecurity,2.87,0,0,0,1,0,1,1,1,0,1,1,3,3,5,3,4,6,18,0.3157894736842105,2,7,8,14,2,8,1,6,1,1,0,1,0,1,-2,0,0,2,1
Computer Science,3.44,0,1,0,1,1,0,0,0,1,0,0,3,1,4,4,1,4,13,0.2857142857142857,3,5,7,10,2,3,5,0,0,0,1,0,0,0,1,-1,1,0,-1
AI,2.59,0,0,0,0,0,0,1,0,1,1,1,1,1,2,3,1,4,8,0.4444444444444444,0,1,2,4,2,7,4,6,0,0,1,1,0,0,1,-1,-2,3,0
Data Science,3.3,1,0,1,0,1,1,0,0,1,0,0,3,1,2,5,3,5,14,0.3333333333333333,4,5,8,8,3,1,4,-1,0,0,0,0,1,0,1,0,1,-1,0
AI,3.5,1,0,1,0,1,1,1,0,0,0,0,3,1,5,2,1,5,12,0.38461538461538464,4,5,7,11,4,3,2,1,0,0,0,0,1,0,0,1,0,0,0
Cybersecurity,3.45,0,1,0,1,0,0,0,1,0,1,1,1,1,4,1,3,5,10,0.45454545454545453,1,3,5,6,1,7,4,5,0,0,1,0,0,0,0,-1,0,2,0
Software Engineering,3.81,1,1,1,1,0,1,1,0,0,1,1,5,2,3,1,4,8,15,0.5,3,9,11,14,3,9,5,5,1,1,0,1,0,1,0,-1,0,2,1
Software Engineering,3.14,1,0,0,0,1,1,0,1,1,0,1,4,4,2,3,4,6,17,0.3333333333333333,4,6,9,13,3,2,3,1,0,0,0,0,1,0,0,0,1,0,0
Cybersecurity,2.62,0,0,0,0,0,1,1,0,1,0,0,3,1,1,1,2,3,8,0.3333333333333333,1,5,7,9,1,3,3,2,0,0,0,0,0,0,0,-1,0,0,1
Data Science,3.37,1,0,1,1,1,1,1,0,0,0,0,2,1,4,2,3,6,12,0.46153846153846156,5,6,8,8,4,5,2,1,0,0,0,0,1,1,-1,1,1,0,0
Software Engineering,3.25,1,1,0,1,0,1,0,1,0,0,0,5,2,1,3,1,5,12,0.38461538461538464,3,9,13,13,1,4,4,1,0,1,0,0,0,1,-1,-1,2,-1,1
Software Engineering,2.71,1,0,0,0,0,1,1,0,1,0,1,3,1,3,5,2,5,14,0.3333333333333333,2,5,8,10,2,5,4,3,0,0,0,0,0,0,0,-1,0,1,1
Computer Science,3.94,1,0,1,1,1,1,1,0,0,0,0,4,1,5,2,3,6,15,0.375,5,8,10,13,4,5,2,1,0,0,0,0,1,1,-1,1,1,0,0
Computer Science,3.71,0,1,1,1,1,0,0,1,0,1,0,2,2,5,3,5,6,17,0.3333333333333333,3,4,5,9,3,5,4,3,0,0,1,0,0,0,1,0,0,1,-1
Data Science,3.37,0,1,0,0,1,1,1,1,0,1,1,2,2,1,2,5,7,12,0.5384615384615384,3,4,4,6,4,5,2,5,0,0,0,1,0,0,0,0,-1,2,0
AI,3.22,1,1,0,1,0,1,0,0,0,1,1,1,3,1,4,2,6,11,0.5,3,5,8,5,2,7,4,3,0,1,0,0,0,1,-1,-1,1,1,1
Software Engineering,2.7,0,1,0,1,0,0,0,0,1,0,1,4,5,4,3,4,4,20,0.19047619047619047,1,6,9,17,0,5,6,2,0,0,1,0,0,0,1,-2,1,1,0
Data Science,3.51,1,0,0,1,0,1,1,0,1,1,0,5,4,5,4,4,6,22,0.2608695652173913,3,9,11,18,3,8,4,4,1,1,0,1,0,1,-1,-1,0,1,1
Data Science,3.4,1,0,0,1,0,1,0,0,0,0,0,5,4,5,3,3,3,20,0.14285714285714285,3,9,13,19,1,4,2,0,0,1,0,0,0,1,-2,0,2,-1,1
Software Engineering,3.36,1,0,1,1,0,1,1,1,1,1,1,1,2,2,5,5,9,15,0.5625,3,5,7,5,3,9,5,6,1,1,0,1,0,1,0,-1,0,2,1
Computer Science,3.01,1,1,0,1,0,0,0,1,1,0,1,4,1,4,5,5,6,19,0.3,2,6,10,12,1,6,7,3,0,0,1,0,0,0,1,-2,1,1,0
Cybersecurity,3.19,0,0,1,0,1,0,1,0,0,0,0,3,1,2,2,3,3,11,0.25,2,3,4,8,3,3,2,2,0,0,0,0,0,0,1,1,-1,1,-1
AI,3.24,0,0,1,1,0,0,1,0,1,0,1,3,1,3,5,4,5,16,0.29411764705882354,1,5,7,10,1,7,5,4,0,0,1,0,0,0,1,-1,0,2,0
Data Science,2.74,1,0,0,1,0,1,0,0,0,0,0,4,3,3,4,4,3,18,0.15789473684210525,3,8,12,14,1,4,2,0,0,1,0,0,0,1,-2,0,2,-1,1
Computer Science,2.98,0,0,1,1,0,0,1,0,0,0,1,5,5,5,2,5,4,22,0.17391304347826086,1,7,9,20,1,7,3,4,0,0,0,0,0,0,0,0,0,2,0
Cybersecurity,3.8,1,1,0,1,1,0,0,1,1,0,1,3,2,4,2,5,7,16,0.4117647058823529,4,5,8,10,3,5,6,2,0,0,1,0,1,0,1,-1,1,1,-1
Computer Science,2.61,0,1,1,0,0,1,0,0,1,0,0,5,3,2,1,1,4,12,0.3076923076923077,1,7,10,16,0,1,6,0,0,0,0,0,0,0,2,-2,1,-1,1
Computer Science,2.75,1,1,0,0,0,1,0,1,0,0,0,1,5,4,5,1,4,16,0.23529411764705882,2,3,7,11,1,2,4,1,0,0,0,0,0,0,0,-1,1,-1,1
Cybersecurity,3.73,1,1,0,1,0,1,0,1,1,1,1,3,3,1,1,1,8,9,0.8,3,7,10,9,2,7,6,4,0,1,0,0,0,1,0,-2,1,1,1
Data Science,3.45,1,1,1,1,0,0,1,0,0,1,1,5,4,5,5,4,7,23,0.2916666666666667,2,7,9,17,3,10,6,6,1,0,1,1,0,0,1,-1,-1,3,0
Data Science,3.75,0,0,0,1,0,1,0,0,0,1,1,5,2,5,3,5,4,20,0.19047619047619047,2,9,11,17,1,6,1,3,0,1,0,0,0,1,-2,0,1,1,1
Computer Science,3.26,0,0,1,0,1,1,1,1,0,1,0,2,3,2,4,2,6,13,0.42857142857142855,3,4,4,8,4,4,1,4,0,0,0,1,0,0,0,1,-1,1,0
Cybersecurity,2.93,0,0,0,1,1,0,1,0,0,0,0,3,5,5,5,5,3,23,0.125,3,5,6,15,3,5,1,2,0,0,0,0,0,0,-1,1,0,1,-1
AI,3.59,1,0,0,0,0,1,1,0,0,1,1,3,2,2,5,4,5,16,0.29411764705882354,2,5,7,9,3,7,2,5,0,0,0,1,0,0,-1,0,-1,2,1
Cybersecurity,3.47,1,0,0,1,0,0,1,1,0,1,1,1,4,5,4,5,6,19,0.3,2,3,5,9,3,10,3,7,1,0,0,1,0,0,-1,0,-1,3,0
AI,2.89,0,0,1,1,1,1,0,1,1,1,0,3,5,2,2,3,7,15,0.4375,4,7,8,12,3,4,3,2,0,0,0,0,0,1,0,0,1,0,0
Data Science,3.91,1,1,0,1,0,1,1,0,0,0,0,1,2,5,5,2,5,15,0.3125,3,5,8,9,2,6,4,2,0,1,0,0,0,1,-1,-1,1,0,1
Data Science,3.16,1,1,0,1,0,0,0,0,0,0,1,5,1,1,4,3,4,14,0.26666666666666666,2,7,11,11,1,6,5,2,0,0,1,0,0,0,0,-1,1,1,0
Data Science,2.87,0,0,1,1,1,1,0,1,0,1,1,3,2,1,5,5,7,16,0.4117647058823529,4,7,8,8,3,5,1,3,0,0,0,0,0,1,-1,1,1,1,0
Computer Science,3.5,1,0,1,1,0,0,1,0,0,0,0,5,1,3,3,3,4,15,0.25,2,7,10,13,2,7,4,3,0,0,0,0,0,0,0,0,0,1,0
Computer Science,3.16,1,0,0,0,1,1,1,0,0,0,0,2,4,5,2,1,4,14,0.26666666666666666,4,4,6,12,4,3,1,1,0,0,0,0,1,0,-1,1,0,0,0
Data Science,3.83,1,1,1,0,0,1,0,1,1,1,0,3,4,2,1,4,7,14,0.4666666666666667,2,5,8,11,2,4,7,3,0,0,0,0,0,0,2,-2,0,0,1
AI,3.3,0,1,0,0,1,1,0,0,0,0,1,1,4,2,3,2,4,12,0.3076923076923077,3,3,5,8,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0
AI,3.35,0,0,0,0,0,1,1,0,0,0,0,4,2,2,4,4,2,16,0.11764705882352941,1,6,8,13,1,3,1,2,0,0,0,0,0,0,-1,0,0,0,1
Software Engineering,3.57,1,0,0,1,0,0,1,0,0,0,0,2,3,5,2,4,3,16,0.17647058823529413,2,4,7,11,2,7,3,3,0,0,0,0,0,0,-1,0,0,1,0
Computer Science,3.45,1,0,0,1,0,1,1,0,1,0,0,4,3,5,3,1,5,16,0.29411764705882354,3,8,11,16,2,6,4,2,0,1,0,0,0,1,-1,-1,1,0,1
Data Science,2.74,1,1,1,1,0,0,0,0,0,0,0,2,3,5,1,5,4,16,0.23529411764705882,2,4,8,11,1,5,6,1,0,0,1,0,0,0,1,-1,1,0,0
Software Engineering,3.12,0,0,1,0,0,0,1,1,0,0,1,1,3,2,1,1,4,8,0.4444444444444444,0,1,3,7,1,5,3,5,0,0,0,0,0,0,1,0,-1,2,0
Software Engineering,2.63,0,0,1,1,1,0,0,0,1,0,0,5,2,1,4,3,4,15,0.25,3,7,9,12,2,3,4,0,0,0,1,0,0,0,1,0,1,0,-1
AI,2.66,0,1,0,0,1,0,1,1,1,0,0,4,1,1,5,4,5,15,0.3125,2,4,5,9,3,3,5,3,0,0,1,0,0,0,2,-1,-1,1,-1
Data Science,3.13,1,1,0,1,0,1,0,0,0,0,0,5,4,3,5,4,4,21,0.18181818181818182,3,9,13,17,1,4,4,0,0,1,0,0,0,1,-1,-1,2,-1,1
Computer Science,2.61,0,0,0,1,1,0,1,1,1,0,1,1,4,4,4,3,6,16,0.35294117647058826,3,3,4,9,3,6,3,4,0,0,1,0,0,0,0,0,0,2,-1
Data Science,2.56,1,1,0,0,1,1,1,0,1,1,1,4,2,5,4,2,8,17,0.4444444444444444,4,6,7,13,5,6,5,4,0,0,0,1,1,0,1,-1,-1,2,0
Cybersecurity,3.14,0,1,0,0,1,1,1,0,0,1,1,1,3,5,1,3,6,13,0.42857142857142855,3,3,3,9,4,5,2,4,0,0,0,1,0,0,0,0,-1,2,0
Computer Science,3.32,0,0,0,0,0,1,1,1,0,1,1,2,1,2,3,2,5,10,0.45454545454545453,1,4,5,7,2,6,1,6,0,0,0,1,0,0,-1,0,-1,2,1
Data Science,3.24,1,0,0,1,0,1,0,1,0,0,0,3,3,4,4,2,4,16,0.23529411764705882,3,7,11,13,1,4,2,1,0,1,0,0,0,1,-2,0,2,-1,1
AI,3.11,1,1,1,0,0,1,0,1,1,1,1,1,4,3,5,3,8,16,0.47058823529411764,2,3,6,8,2,5,7,4,0,0,0,0,0,0,2,-2,0,1,1
Data Science,2.92,1,0,1,1,0,1,0,0,0,0,0,3,1,2,5,3,4,14,0.26666666666666666,3,7,11,9,1,4,3,0,0,1,0,0,0,1,-1,0,2,-1,1
Cybersecurity,3.48,0,0,1,0,1,0,1,1,0,1,1,2,4,1,5,1,6,13,0.42857142857142855,2,2,2,7,4,6,2,6,0,0,0,1,0,0,1,1,-2,3,-1
Computer Science,3.02,1,0,0,1,0,1,0,0,0,1,0,5,3,5,4,2,4,19,0.2,3,9,12,17,2,6,2,2,0,1,0,0,0,1,-2,0,1,0,1
AI,3.74,1,0,1,1,0,1,0,1,1,1,0,2,4,2,1,2,7,11,0.5833333333333334,3,6,9,9,2,6,5,3,0,1,0,0,0,1,0,-1,1,0,1
Software Engineering,2.54,1,0,1,1,1,1,1,1,1,0,0,5,2,1,2,4,8,14,0.5333333333333333,5,9,11,12,4,5,4,2,0,0,0,0,1,1,0,0,1,0,0
Cybersecurity,3.35,1,0,0,1,1,1,0,0,0,0,0,3,1,5,1,4,4,14,0.26666666666666666,5,7,10,11,3,3,1,-1,0,0,0,0,1,1,-2,1,2,-1,0
Data Science,2.76,0,1,0,0,1,0,0,1,1,1,1,3,2,5,3,3,6,16,0.35294117647058826,2,3,4,11,3,4,5,4,0,0,1,0,0,0,2,-1,-1,2,-1
Data Science,3.31,1,0,1,1,0,0,0,0,0,1,0,5,1,4,5,1,4,16,0.23529411764705882,2,7,10,13,2,7,4,3,0,0,0,0,0,0,0,0,0,1,0
Data Science,3.52,1,1,0,1,1,1,0,0,0,0,0,3,2,4,2,3,5,14,0.3333333333333333,5,7,10,11,3,3,3,-1,0,0,0,0,1,1,-1,0,2,-1,0
AI,3.0,1,0,1,0,1,0,0,1,0,0,0,3,1,4,1,5,4,14,0.26666666666666666,3,3,6,9,3,2,3,1,0,0,0,0,1,0,1,1,0,0,-1
Cybersecurity,3.11,1,0,1,1,0,1,0,0,0,0,0,5,4,5,4,2,4,20,0.19047619047619047,3,9,13,19,1,4,3,0,0,1,0,0,0,1,-1,0,2,-1,1
Data Science,3.16,1,0,0,1,0,0,1,0,0,0,1,3,2,4,5,1,4,15,0.25,2,5,8,11,2,8,3,4,0,0,0,0,0,0,-1,0,0,2,0
Cybersecurity,3.44,0,0,1,1,0,0,0,1,1,1,1,2,5,1,1,3,6,12,0.46153846153846156,1,4,6,9,1,7,5,5,0,0,1,0,0,0,1,-1,0,2,0
AI,3.67,1,0,1,1,0,1,0,1,0,0,0,4,2,2,4,5,5,17,0.2777777777777778,3,8,12,12,1,4,3,1,0,1,0,0,0,1,-1,0,2,-1,1
Cybersecurity,2.81,1,1,0,0,0,1,0,1,1,0,0,2,1,2,3,2,5,10,0.45454545454545453,2,4,8,7,1,2,6,1,0,0,0,0,0,0,1,-2,1,-1,1
Data Science,3.65,0,0,1,1,0,1,0,1,1,0,0,4,2,1,1,2,5,10,0.45454545454545453,2,8,11,12,0,3,4,1,0,1,0,0,0,1,0,-1,2,-1,1
Computer Science,3.64,1,0,1,1,1,0,1,0,0,1,0,3,2,4,4,5,6,18,0.3157894736842105,4,5,6,9,5,8,3,4,1,0,0,1,1,0,0,1,-1,2,-1
AI,3.36,0,1,1,1,0,1,1,0,0,1,1,4,1,5,4,3,7,17,0.3888888888888889,2,8,9,14,2,8,4,5,1,1,0,1,0,1,0,-1,0,2,1
AI,3.59,1,0,1,1,1,1,1,0,1,1,0,3,3,4,5,3,8,18,0.42105263157894735,5,7,8,11,5,7,4,3,1,0,0,1,1,1,0,0,0,1,0
AI,3.01,1,0,1,1,0,1,1,0,0,1,0,5,3,5,3,3,6,19,0.3,3,9,11,17,3,8,3,4,1,1,0,1,0,1,-1,0,0,1,1
Software Engineering,2.57,1,1,0,1,0,0,0,0,0,1,1,4,4,5,4,4,5,21,0.22727272727272727,2,6,9,15,2,8,5,4,0,0,1,0,0,0,0,-1,0,2,0
